WPN(10),degree,betweenness,closeness,coreness,PageRank,e-coreness,IFTS
top-1,0.181818184,0.181818184,0.181818184,0.181818184,0.181818184,0.181818184,0.181818184
top-2,0.333333337,0.333333337,0.333333337,0.333333337,0.333333337,0.333333337,0.333333337
top-3,0.461538476,0.461538476,0.461538476,0.307692313,0.461538476,0.461538476,0.461538476
top-4,0.571428578,0.571428578,0.571428578,0.285714289,0.571428578,0.571428578,0.571428578
top-5,0.666666667,0.533333341,0.533333341,0.266666671,0.666666667,0.666666667,0.666666667
top-6,0.624999994,0.50000001,0.624999994,0.375000009,0.624999994,0.624999994,0.624999994
top-7,0.5882353,0.5882353,0.5882353,0.352941186,0.5882353,0.5882353,0.705882372
top-8,0.666666681,0.666666681,0.555555556,0.333333341,0.666666681,0.666666681,0.666666681
top-9,0.631578969,0.631578969,0.526315801,0.315789485,0.631578969,0.631578969,0.631578969
top-10,0.600000024,0.600000024,0.5,0.300000012,0.600000024,0.600000024,0.600000024
top-11,0.571428591,0.571428591,0.476190484,0.285714296,0.571428591,0.571428591,0.571428591
top-12,0.545454555,0.545454555,0.545454555,0.272727278,0.545454555,0.545454555,0.545454555
top-13,0.521739141,0.521739141,0.521739141,0.26086957,0.521739141,0.521739141,0.521739141
top-14,0.500000011,0.583333329,0.500000011,0.333333344,0.500000011,0.500000011,0.500000011
top-15,0.480000012,0.559999998,0.480000012,0.320000012,0.480000012,0.480000012,0.559999998
top-16,0.461538469,0.538461535,0.461538469,0.384615385,0.461538469,0.538461535,0.615384619
top-17,0.444444458,0.518518519,0.518518519,0.37037038,0.444444458,0.518518519,0.592592597
top-18,0.428571443,0.500000002,0.500000002,0.357142868,0.428571443,0.500000002,0.571428577
top-19,0.413793098,0.482758614,0.482758614,0.344827594,0.413793098,0.482758614,0.551724143
top-20,0.400000016,0.466666659,0.466666659,0.333333333,0.400000016,0.466666659,0.533333341
top-21,0.387096791,0.45161291,0.45161291,0.322580646,0.387096791,0.45161291,0.516129041
top-22,0.437499993,0.437499993,0.437499993,0.312500006,0.375000012,0.437499993,0.500000013
top-23,0.424242409,0.424242409,0.424242409,0.303030296,0.363636365,0.424242409,0.484848493
top-24,0.411764694,0.411764694,0.411764694,0.294117642,0.352941181,0.411764694,0.470588247
top-25,0.399999999,0.399999999,0.399999999,0.342857141,0.399999999,0.399999999,0.457142852
top-26,0.388888901,0.388888901,0.388888901,0.333333338,0.388888901,0.388888901,0.444444458
top-27,0.378378371,0.378378371,0.378378371,0.32432433,0.378378371,0.378378371,0.432432437
top-28,0.368421051,0.368421051,0.421052647,0.368421051,0.368421051,0.421052647,0.421052647
top-29,0.358974352,0.358974352,0.410256411,0.358974352,0.358974352,0.410256411,0.410256411
top-30,0.35,0.35,0.400000017,0.35,0.35,0.400000017,0.400000017
